Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
DirecTV-4S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,NaN,35780,35792,0.00014,1436.09,4300,2100,8100,37222,15,Hughes Electronics Corp.,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-1.765400538,0.000872665
DirecTV-5 (Tempo 1),USA,"DirecTV, Inc.",Commercial,Communications,GEO,NaN,35773,35799,0.00031,1436.08,4300,3640,NaN,37383,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.920734842,0.00122173
DirecTV-7S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,NaN,35774,35797,0.00027,1436.1,5483,3500,13000,38111,15,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,JM/12_08,-2.077639942,0.000174533
DirecTV-8,USA,"DirecTV, Inc.",Commercial,Communications,GEO,NaN,35777,35796,0.00023,1436.1,3800,NaN,8200,38494,12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,JM/12_08,-1.759466419,0.000349066
DirecTV-9S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.1,5500,2364,13900,39003,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,-1.764178808,0.000523599
DLR Tubsat,Germany,Deutsches Zentrum fr Luft- und Raumfahrt,Government,Earth Science,LEO,Sun-Synchronous,712,732,0.00141,99.2,45,NaN,120,36306,1,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Center,PSLV C2,www.satellitedebris.net 12/12,NaN,1.720894642
"DMSP 5D-2 F13 (Defense Meteorological Satellites Program, USA 109)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,845,855,0.00069,101.93,1134,823,900,34782,5,General Electric Astro Space,USA,Vandenberg AFB,Atlas E,JMSatcat304,NaN,1.724385301
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,842,855,9.00E-004,101.9,1134,823,900,35524,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,JMSatcat304,NaN,1.72613063
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,837,851,0.00097,101.8,1152,823,900,36506,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,JMSatcat304,NaN,1.72613063
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,843,852,0.00062,101.87,1154,825,900,37912,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,JMSatcat304,NaN,1.72613063
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 191)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,842,855,9.00E-004,101.89,1154,825,900,39025,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,SC - ASCR,NaN,1.724210768
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,DoD/NOAA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,842,859,0.00118,101.94,1155,825,900,40104,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Atlas 5,SC - ASCR,NaN,1.726654229
Dove-2,USA,"Planet Labs, Inc.",Commercial,Technology Development,LEO,Sun-Synchronous,559,582,0.00166,96.08,5.8,NaN,NaN,41383,0.5,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2-1A,SC - ASCR,NaN,1.132369619
Dove-3,USA,"Planet Labs, Inc.",Commercial,Technology Development,LEO,Sun-Synchronous,594,815,0.01562,98.8,6,NaN,NaN,41599,NaN,"Planet Labs, Inc.",USA,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.705186679
Dove-4,USA,"Planet Labs, Inc.",Commercial,Technology Development,LEO,Sun-Synchronous,594,815,0.01562,98.8,6,NaN,NaN,41599,NaN,"Planet Labs, Inc.",USA,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.705186679
"DRTS (Data Relay Test Satellite, Kodama)",Japan,National Space Development Agency,Government,Technology Development,GEO,NaN,35775,35799,0.00028,1436.12,2650,1500,2100,37509,7,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,JM/12_08,1.584235362,0.000349066
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35771,35802,0.00037,1436.12,1156,884,1240,37691,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,JM/12_08,1.047372084,0.000523599
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35760,35814,0.00064,1436.1,1156,884,1240,37862,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,JM/12_08,-0.91647239,0.000872665
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35757,35817,0.00071,1436.1,1156,884,1240,35727,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,JM/12_08,-2.269800692,0.044331363
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35706,35868,0.00192,1436.13,1156,884,1240,36526,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,JM/12_08,-2.358114352,0.000174533
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35774,35799,3.00E-004,1436.12,1156,884,1240,36819,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,JM/12_08,-0.212057504,0.000698132
"DSCS III-F6 (USA 82, DSCS III B-12) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35718,35855,0.00162,1436.1,1156,884,1240,33787,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2,JM/12_08,-0.211010307,0.000872665
"DSCS III-F8 (USA 97, DSCS III B-10) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35756,35817,0.00072,1436.11,1156,884,1240,34301,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2,JM/12_08,0.990823416,0.080110613
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,NaN,35784,35784,0,1436.1,1156,884,1240,34911,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,GS,-0.914552528,0
DSP 18 (USA 130) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,NaN,35780,35800,0.00024,1436.27,2380,NaN,1485,35484,5,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,JMSatcat304,NaN,0.001745329
DSP 20 (USA 149) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,NaN,35897,35909,0.00014,142.08,2380,NaN,1485,36664,0.5,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,JM/12_08,-0.632681854,0.071209433
DSP 21 (USA 159) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,NaN,35765,35810,0.00053,1436.14,2380,NaN,1485,37109,0.5,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,JM/12_08,1.212654764,0.064228116
DSP 22 (USA 176) (Defense Support Program),USA,Air Force,Military,Early Warning,GEO,NaN,35741,35832,0.00108,1436.12,2380,NaN,1485,38031,0.5,Northrup Grumman (formerly TRW),USA,Cape Canaveral,Titan 4B,JM/12_08,1.812349895,0.024609142
DubaiSat-1,UAE,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,Sun-Synchronous,662,680,0.00128,98.2,200,NaN,360,40023,5,Satrec Initiative,South Korea,Baikonur Cosmodrome,Dnepr,www.satellitedebris.net 12/12,NaN,1.710422667
DubaiSat-2,UAE,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,Sun-Synchronous,585,603,0.00129,96.56,300,NaN,360,41599,5,Satrec Initiative,South Korea,Dombarovsky Launch Facility,Dnepr,SC - ASCR,NaN,1.706932008
Eagle 2 ($50Sat),USA,Morehead State University,Civil,Technology Development,LEO,Sun-Synchronous,596,639,0.00308,97,2,NaN,NaN,41599,NaN,Morehead State University,USA,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
Echostar 1,Mexico,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)",Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.07,3287,2000,7000,35061,12,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March 2E,JM/12_08,1.346521518,0.000174533
Echostar 10,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35780,35792,0.00014,1436,4333,NaN,10000,38763,15,Lockheed Martin Commercial Space Systems,USA,Sea Launch,Zenit 3SL,JM/12_08,-1.921083908,0.001047198
Echostar 11,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35778,35793,0.00018,1436.1,5500,NaN,20000,39645,15,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,JM/12_08,-1.919338578,0.000523599
Echostar 12 (Rainbow-1),USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35782,35791,0.00011,1436.11,4328,NaN,NaN,37819,18,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,JM/12_08,-1.075646418,0.001047198
Echostar 14,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35785,35789,5.00E-005,1436.11,6384,3223,20000,40257,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,-2.07694181,0.000872665
Echostar 15,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35789,35803,0.00017,1436.57,5521,NaN,20000,40369,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,-1.07337749,0.00122173
Echostar 16,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.06,6658,3228,NaN,41233,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,-1.07337749,0.000872665
Echostar 17,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35781,35794,0.00015,1436.13,6100,NaN,16100,41095,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,ZARYA,-1.869247629,0.000174533
Echostar 3,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35783,35790,8.00E-005,1436.11,3674,1700,10000,35708,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-1.072679358,0.000349066
Echostar 6,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35775,35798,0.00027,1436.12,3700,1493,11000,36721,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-1.269028899,0.00122173
Echostar 7,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35782,35789,8.00E-005,1436.07,4027,2200,13000,37308,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3B,JM/12_08,-2.074323816,0.000174533
Echostar 8,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,NaN,35783,35789,7.00E-005,1436.1,4660,NaN,10000,37489,12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,JM/12_08,-1.343379925,0.000174533
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,"Echostar Technologies, LLC/Intelsat",Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.08,4000,2500,NaN,37841,13,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,JM/12_08,-2.112197461,0.000174533
"Echostar G1 (ICO G1, DBSD G1)",USA,Dish Network,Commercial,Communications,GEO,NaN,35773,35799,0.00031,1436.1,6600,NaN,16000,39552,15,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,JM/12_08,-1.621759941,0.100007366
EduSAT,Italy,School of Aerospace Engineering - University of Rome,Civil,Technology Development,LEO,Sun-Synchronous,639,694,0.00391,98.1,10,NaN,NaN,40772,NaN,"Aerospace Engineering School, University of Rome",Italy,Dombarovsky Launch Facility,Dnepr 1,www.satellitedebris.net 12/12,NaN,1.713913325
Electro-L1 (GOMS 2 [Geostationary Ioperational Meteorological Satellite 2],Russia,Roshydromet - Planeta,Government,Meteorology,GEO,NaN,35323,35750,0.00509,1423.35,1766,NaN,NaN,40563,10,Lavochkin,Russia,Baikonur Cosmodrome,Zenit,SC - ASCR,1.326450232,0.008028515
ELISA-E12 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,675,692,0.00121,98.43,120,NaN,NaN,40894,NaN,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,NaN,1.714087858
ELISA-E24 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,677,692,0.00106,98.46,120,NaN,NaN,40894,NaN,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,NaN,1.714087858
ELISA-W11 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,675,692,0.00121,98.43,120,NaN,NaN,40894,NaN,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,NaN,1.714087858
ELISA-W23 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Electronic Intelligence/Technology Development,LEO,Polar,677,692,0.00106,98.45,120,NaN,NaN,40894,NaN,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,Astronomy News,NaN,1.714087858
EO-1 (Earth Observing 1),USA,NASA Earth Science Office,Government,Earth Observation/Research,LEO,Sun-Synchronous,678,690,0.00085,98.4,572,NaN,600,36851,5,Swales Aerospace,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.712167996
EOS-AM Terra,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Science,LEO,Sun-Synchronous,702,703,7.00E-005,98.8,4854,NaN,2530,36512,6,TRW Space,USA,Vandenberg AFB,Atlas 2 AS,www.satellitedebris.net 12/12,NaN,1.713913325
EOS-CHEM Aura,USA,Goddard Space Flight Center/EOS Data and Operations System,Government,Remote Sensing,LEO,Sun-Synchronous,702,703,7.00E-005,98.8,2967,NaN,4600,38183,5,TRW,USA,Vandenberg AFB,Delta 2,www.satellitedebris.net 12/12,NaN,1.713913325
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,701,704,0.00021,98.8,2934,2832,4860,37380,6,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,www.satellitedebris.net 12/12,NaN,1.713913325
EROS A1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,530,547,0.00123,95.4,240,NaN,NaN,36865,6,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,www.satellitedebris.net 12/12,NaN,1.70344135
EROS B1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,508,514,0.00044,94.8,350,NaN,800,38832,10,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,www.satellitedebris.net 12/12,NaN,1.699950691
e-st@r,Italy,Politecnico di Torino,Civil,Technology Development,Elliptical,NaN,306,1313,0.07013,101.08,NaN,1,NaN,40952,1,Politecnico di Torino,Italy,Guiana Space Center,Vega,SC - ASCR,NaN,1.212654764
EstCube-1,Estonia,University of Tartu,Civil,Technology Development,LEO,Sun-Synchronous,658,671,0.00092,98.03,1,NaN,NaN,41401,1,University of Tartu,Estonia,Guiana Space Center,Vega,SC - ASCR,NaN,1.712691595
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,NaN,35761,35810,0.00058,1436.06,3535,1900,9000,36901,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,JM/12_08,0.734434549,0.000349066
"Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)",Multinational,Europe*Star (Altacel Loral Global Alliance),Commercial,Communications,GEO,NaN,35776,35796,0.00024,1436.09,4167,1729,12000,36828,18,Alcatel Space Industries,France,Guiana Space Center,Ariane 44LP,JM/12_08,0.786096295,0
Eutelsat 10A (Eutelsat W-2A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35781,35822,0.00049,1436.09,5900,NaN,NaN,39906,15,Alcatel Alenia Space,France,Baikonur Cosmodrome,Proton M,JM/7_09,0.174532925,0.000523599
Eutelsat 12 West A (Atlantic Bird 1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35768,35805,0.00044,1436.1,2700,1550,5100,37496,15,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,JM/12_08,-0.216944426,0.001919862
Eutelsat 16A (Eutelsat W3C),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35779,35795,0.00019,1436.12,5400,NaN,NaN,40823,NaN,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,JM/1_12,0.27925268,0.003490659
"Eutelsat 16B (Eurobird 16, Atlantic Bird 4, Hot Bird 4)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35762,35810,0.00057,1436.1,2885,1310,6000,35853,14,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,JM/12_08,-0.125489173,0.000349066
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35754,35817,0.00075,1436.06,2500,NaN,5600,36633,NaN,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.627620399,0.00122173
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35772,35799,0.00032,1436.1,5000,NaN,13000,38715,16,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,JM/12_08,3.003013511,0.000174533
"Eutelsat 48C (Eutelsat 21A, W-6, Eutelsat W-3)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35770,35802,0.00038,1436.09,2490,1380,5800,36262,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,JM/12_08,0.837758041,0.00122173
Eutelsat 25B (EsÕhail 1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT)/Es'hailSat,Commercial,Communications,GEO,NaN,35725,35767,5.00E-004,1434.03,NaN,NaN,NaN,41515,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,ZARYA,0.445058959,0.001396263
"Eutelsat 25C (Eutelsat 70A, Eutelsat W-5)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35780,35790,0.00012,1436.04,3170,1900,5900,37580,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 2 AS,JM/12_08,0.445058959,0.000349066
"Eutelsat 28A (Eurobird 1, Eurosat 1)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35788,35794,7.00E-005,1436.1,2950,1375,5900,36958,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,JM/12_08,0.498466034,0.00122173
"Eutelsat 33A (Eurobird 3, E-bird)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.06,1525,1300,1600,37891,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,JM/12_08,0.578402114,0.000872665
Eutelsat 36A (Eutelsat W-4),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35766,35806,0.00047,1436.08,3190,1380,6000,36670,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,JM/12_08,0.629889327,0.00122173
Eutelsat 36B (Eutelsat W-7),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35786,35787,1.00E-005,1436.09,5600,NaN,13200,40141,15,Thales Alenia Space,France,Baikonur Cosmodrome,Breeze M,SC - ASCR,0.628318531,0.00122173
"Eutelsat 3A (Sinosat-5C, Sinosat-3, Xinnuo 3, Chinasat-5C, XN-3)",Multinational,Eutelsat (leased from Chinasat),Commercial,Communications,GEO,NaN,35778,35793,0.00018,1436.08,2200,NaN,NaN,39233,8,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3A,JM/12_08,0.027925268,0.000174533
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35766,35806,0.00047,1436.07,4892,2240,11000,39855,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR,-0.00122173,0.001047198
Eutelsat 3D,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35784,35794,0.00012,1436.21,5404,NaN,NaN,41408,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,ZARYA,0.052359878,0.000523599
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35757,35815,0.00069,1436.07,2915,1700,NaN,35390,14,Matra Marconi Space (Astrium),France/UK/Germany,Cape Canaveral,Delta 2,JM/12_08,0.158475896,0.001396263
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",Multinational,European Telecommunications Satellite Cosorrtium (EUTELSAT),Commercial,Communications,GEO,NaN,35777,35797,0.00024,1436.12,5102,2060,NaN,41223,15,Thales Alenia Space,Italy,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.837758041,0.001570796
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35769,35805,0.00043,1436.08,4050,1805,11000,37442,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,JM/12_08,-0.086044732,0.000698132
Eutelsat 7 West A (Atlantic Bird 7),Multinational,European Telecommunications Satellite Consoritum (EUTELSAT)/Nilesat,Commercial,Communications,GEO,NaN,35774,35799,3.00E-004,1436.09,4600,NaN,12000,40810,15,Astrium,France,Sea Launch (Odyssey),Zenit 3SL,JM/1_12,-0.122173048,0.001047198
Eutelsat 70B (Eutelsat W5A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35780,35800,0.00024,1436.28,5250,NaN,NaN,41246,15,EADS Astrium,France,Sea Launch (Odyssey),Zenit 3SL,SC - ASCR,1.221730476,0.001047198
Eutelsat 7A (Eutelsat W3A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35769,35802,0.00039,1436.07,4300,2000,NaN,38061,15,Astrium,France,Baikonur Cosmodrome,Proton M,JM/12_08,0.123220245,0.001047198
Eutelsat 8 West A (Atlantic Bird 2),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35766,35806,0.00047,1436.1,3150,1368,7400,37159,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,JM/12_08,-0.141197136,0.001047198
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35775,35799,0.00028,1436.1,4100,1740,10000,38787,15,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5,JM/12_08,-0.523773309,0.00122173
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35756,35815,7.00E-004,1436.06,3800,1900,9000,37496,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 5,JM/12_08,0.13962634,0.001570796
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35759,35812,0.00063,1436.06,4900,NaN,14000,38933,15,EADS Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M/Breeze M,JM/12_08,0.228289066,0.000349066
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35786,35787,1.00E-005,1436.09,4880,2338,14500,39802,15,EADS Astrium,France,Guiana Space Center,Ariane 5,JM/12_08,0.01727876,0.001047198
Eutelsat KA-SAT 9A (KA-SAT),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35714,35856,0.00168,1436.01,6150,3200,11000,40538,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,SC - ASCR,0.157079633,0.002268928
exactView 1,Canada,exactEarth,Commercial,Maritime Tracking,LEO,Sun-Synchronous,806,821,0.00104,101.2,100,NaN,NaN,41112,NaN,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,NaN,1.727875959
Express AM22 (Sesat 2),Russia/Multinational,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.06,2600,NaN,6000,37983,12,NPO-PM/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,JM/12_08,0.925722635,0.000349066
Express-2A (Ekspress A No. 2),Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35783,35790,8.00E-005,1436.11,2600,NaN,2500,36597,10,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,1.794198471,0.047996554
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.1,2600,NaN,6000,37417,0.5,NPO-PM/Alcatel,Russia,Baikonur Cosmodrome,Proton K,JM/12_08,0.243822497,0.000349066
